问题,回答
【Shopee】Golang岗-赶上了春季末班车校招,"整体而言虾厂的技术面试不难，和字节、腾讯或阿里相比，适合练手。
技术面试官很接地气，不会刻意为难你，HR 负责人也专业，但 HR 前台小妹专业态度一般，令人遗憾。
砖场的好处是一天一条龙全套爽歪歪服务，看得出虾厂挺缺人的？
1.Go Core
Go 语言的内存如何分配？
Go 语言的 G-M-P 调度模型？
Go 语言的 sync.Map 的底层数据结构如何，以及如何实现高并发的增删改查？
Go 语言的底层如何实现传值或指针？
2.操作系统
Linux 系统上如何使用命令行查看指定端口号？
Linux 系统的进程如何调度？什么是完全公平调度（CFS）？
Linux 系统的进程间通信方式（IPC）有哪几种，分别用 Go 语言如何实践？
3.计算机网络
HTTPS 与 HTTP 有什么区别？
TCP 与 UDP 的区别？
如何使用 UDP 实现可靠传输？
4.数据库
什么是事务以及其事务隔离级别？
事务的隔离级别的 ACID 分别通过什么方式实现？
InnoDB 的存储引擎及其数据结构如何？
5.项目与架构
Go 语言如何使用 Docker？
Go 语言的 struct 如何使用 JSON？
6.数据结构与算法
二叉搜索树的数据结构是怎么样的？
什么是 LRU 算法？
Merge k Sorted Lists（LeetCode 0023）
总体而言面试官看菜吃饭，如果八股题答的好就给一道 medium 的题，答的马虎就给 easy 台阶下。
1.Go Core
Go 语言的 G-M-P 调度模型如何？
Go 语言如何实现性能调优？
什么是轮询，Go 语言如何实践？
Go 语言有哪些性能分析工具？
Go 语言如何进行内存回收？
2.操作系统
虚拟地址如何映射至物理地址？
3.计算机网络
HTTP 和 HTTPS 有什么区别？
如何防范 DOS 洪泛攻击？
4.数据库
如何优化 MySQL？如何分析和改进？
Redis 都有哪些数据结构，如何实现高性能？
Redis 如何实现持久化？
5.项目与架构
如何使用 MySQL 集群？
如何使用 Kubernetes？
负载均衡的算法是什么？
6.数据结构与算法
哈希一致性算法的实现。
4/25 16:00 HR 面（至今没结果）
你手头都有些什么 Offer 或正在面什么公司？
如何看待腾讯、字节跳动和 Shopee 的异同？
在薪资、发展前景和人脉这三者因素，你的考量排序如何？
你最近一次的绩效考核是什么？
你的大学专业是什么，以及为什么选择转行做程序员？
你有什么职业规划？
你如何应对「向上沟通」？
你如何处理平级同事间的冲突？
你的希望薪资多少，可否日后提交银行流水？
三次面试我自己感觉发挥了 85+%，背的八股题都用上了，技术面试官表示满意。
可是问题来了，截止发稿（5/6 12:00），哥 Moka 的状态依旧为「面试」，没收到任何感谢信，感觉非常焦虑和不安？
Golang开发岗
Shopee面试

ㅤ普通"
【Shopee】Golang岗-超详细的后端面经,"背景
Shopee这家企业最初是在其他dalao的面经、V2EX上了解到的，当然开始的时候其实并不是特别清楚相关的信息比如业务内容、技术氛围等。因为2月份字节跳动的面试失利，而且结合2020年年初整体环境的情况，所以打算做个100 Day Countdown复习再尝试的，不过综合考虑觉得金三银四的机会错过可能就没有了，最后在三月初的时候内推了Shopee的岗位。同期在考虑的还有网易和360的一些岗位，网易在广州的主要是游戏岗，技术栈上Match的程度会相对低一些，而且了解到部分目标岗位入职之后貌似是以Python为主，而我目前做的也是Python开发，但是更倾向于接触Go和Go的生态（云原生），这个也是优先考虑Shopee机会的原因之一。
面试
因为赶上春招，所以大概面试官们都比较忙，投递之后大约过了2周HR电话联系，约了一面时间。
一面我要求在了一个比较晚的时间，因为Shopee晚上是不面试的，所以定在了下午大概下班前一点的时候，然而没有想到一聊就聊了接近80分钟，结束的时候已经接近7点了。
自我介绍
介绍基本的项目架构，问了Elasticsearch在项目中的用途
每日新增数据量*00w，不算少了，用MySQL怎么样做的？
看具体业务，例如新增这块是某些业务数据的快照，用作趋势图
新增数据多，分策略处理，按业务分区，定时归档到oss
除去归档之后数据还有多大？以什么样的方式检索？
除去归档之后的量级在千万级
虽然有千万，但是根据业务查询做Partition，每个tablespace不大，使用xx作为主键，查询也按照主键，速度可以接受
对Percona和它MySQL的分支了解多少？它改表的工具有看过吗？原理能说一下吗，改表过程中一致性如何保证？
Percona的工具一般都是运维在用，自己RSS了他们的博客，阅读和翻译感兴趣的文章
pt-osc，改表通过创建新表，复制旧表数据最后原子操作RENAME替换完成。（答得不在点子上，最重要的通过Trigger保障过程中的一致性没有提出来）
有做过分享过BloomFilter，分享的原理还是应用？
Both
概率型过滤器，业务上用做去重判定，有在团队里面推广，目前在新业务上准备尝试
Redis中使用Bitmap实现，对判断内容Hash置位，如果对应位置都已经置位过说明元素可能存在，反之必然不存在
用过Redis的哪些数据结构？redis-cell是什么？
除了基础的5种结构以外，还尝试过HyperLogLog，布隆过滤器，redis-cell，stream
redis-cell是一个外挂模块，漏斗模型限流
有用过Redis的Cluster吗？了解原理吗？如果有节点挂了会怎么样？
业务使用Redis的部分数据量比较少所以用不上，自己有尝试过
基于槽分配，将集群划分成16384个槽，分配给不同节点，当所有槽分配完毕的时候集群上线
如果用官方工具创建类似典型的三主三从集群，主节点挂掉之后会自动有从节点顶上
用Redis不同的数据结构都实现过什么业务？
HyperLogLog，和BloomFilter相似，场景为概率型的计数，例如超大量的每日访问IP数（PV），代替set类型
ZSET，做过排行榜
String，做日常缓存
了解Redis HASH结构的实现吗？怎么保证查找的复杂度是O(1)？
底层是一个字典
Emmm…（场面一度尴尬，觉得很基础又一时说不上来，最后猜测是Hash之后通过内存地址查找所以是O(1)）不太了解
然后聊到这里附近的时候远程聊天网络原因断开了一下orz，多给了一点点思考的时间，虽然重连之后还是答得不太满意。
有用过短域名服务吗，能说一下吗？
（简历上写了一个TinyURL系统架构设计的博客，不知道面试官是看到了所以对这方面感兴趣，还是这么凑巧他想问一个我设计过的架构）
方案：自增ID + Base62
细节：自增ID肯定是唯一的，问题在于如何保证在分布式系统中不同节点的自增ID没有重复，使用ZooKeeper提前对号段进行划分，应用节点自行获取和内部维护
比较：MD5、UUID、自增Base62，各有优势，使用HASH的方案需要考虑冲突问题，UUID太长
大访问量的情况下这个业务怎么设计？
短链有失效时间吗？（一天内访问非常频繁，后面急剧下降）
那将生成的数据放到Cache中设置1天TTL，Cache不存在回MySQL查（这里有遗漏的点没有答好，场景下会产生大量的短链长链对应关系，数据量级也需要考虑和处理，不可能无限增长下去，面试官提问的时候有强调到，但是回答之后貌似刚好也和我一样漏掉了XD）
如果要求长域名一样的时候对应短域名也一样怎么设计？
每次回表查关系，但是这样不理想
思路是判定的时候需要查询，那么就想办法降低查询次数，没出现过的URL肯定会对应新短链，那么结合BloomFilter判定是否曾经出现过，如果出现过再回表确认真的出现还是BloomFilter的误判
有试过BloomFilter数据量比较大的时候占用Redis空间有多少吗？
很低，但是不知道具体数字（这里是个超级大坑，一面没有深究，二面的时候被追问细节，然而当初是想一二面一起复盘所以orz）
业务已经很久，数据量大，需要做分表或者归档，会怎么做？
归档貌似不行，旧数据还是要可用
分表按照业务场景，查询是围绕短链ID，根据短链ID做hash分表而不是自增ID，这里视情况可能需要设计上用短链ID作为主键
用Python里面的数据结构实现一个有序集合，思路
（答得不是很好，问到了讲的几个思路的复杂度的计算，自己打个50分不及格）
List + Dict（期望小于O(n)可以吗？）
…（求求自己回去多看看数据结构）
SkipList（真的不会，于是开始胡扯…）
写SQL：找出A表存在，B表不存在的id
写了一个NOT IN，强调性能不佳
补充一个LEFT JOIN WHERE IS NULL的方案
小表驱动大表
MySQL事务隔离级别？你们用的级别？可重复读是什么意思？
4个
可重复读
解释了一下Read Commited里面不可重复读的场景，可重复读解决了这种问题，但是会存在幻读问题;强调InnoDB中使用Next-Key Locking，在Repeatable Read中就已经解决了幻读问题，解释了一下Gap Lock和Record Lock
了解乐观锁与悲观锁吗？
描述了一下以及讲一下怎么使用乐观锁
了解InnoDB的索引实现？B+树和B树有什么区别？
B+树
高扇出性，层数少、叶子节点带指针、B+树数据全部在叶子节点，B树索引节点也存数据
SQL题：哪个SQL能用上全部索引
都是在用Python是吗？还会其他语言吗？
读书的时候写PHP，现在在学Go
对Python装饰器的理解？
（写了3行代码表达装饰器是对方法进行前置处理和后处理的夹心饼结构）
（更好的表达应该是强调将被装饰对象作为参数传递，因为它是First Class Object，同时执行前后进行额外的逻辑，最后返回）
写了一小段代码，问如何调用装饰器内部的定义的方法
写了一小段闭包的代码，问执行结果
答了一个错误的执行结果和正确的闭包概念
（我确认我是清晰理解了闭包的概念，但是思考的时候多操了一份心，又考虑了一些mutable object和immutable object的事情，结果就答错了结果，气坏了）
Python的functools和itertools有用过什么吗？Collections用到什么？
有用过，但是一时想不起来里面的方法/对象了，经常用Collections
用到defaultdict、OrderedDict、Counter等等
进程与线程
Python的多线程可以用到多核，一般多线程用来做什么，多线程多进程用的什么库？
了解HTTPS加密过程吗？讲一下握手的过程
浏览器的缓存了解多少？自己建站静态文件会加缓存吗？
编程题：Word Break和翻转二叉树
有什么问题想问吗？
对我的建议
技术分享
开源文化
一面结束之后过了几天接到HR电话，约了第二面的时间。
二面是部门负责人面，问的问题相对少一些，但是抓的细节比较多，因为自己准备的方向（有一些知识点没有太细致的见解，因为不是科班背景，所以花了很多时间拓宽知识储备的广度，相对而言深度就只针对特定方向做了准备）没有在对应的点上，所以答得稀烂。
自我介绍
介绍基本的业务
数据存储用的是什么？
项目主要的难点是什么？快照是怎么做的，增量还是全量？全部数据（指的是动态和静态数据）都做快照吗？
这些表都有多大？
讲解一些表的设计的结构，字段类型
这里面试官对我描述的表的数据行数和体积有一些疑问，于是花了一点时间探讨，按照要求对描述的表进行了数据量的计算，最后得出来的结果和我提出的体积有比较大的差异。主要体现出来平时对业务数据量的预估和设计经验不够丰富，缺乏细致和准确性。面试的时候如果这些内容和对方经验值出入比较大被质疑，不可避免会拉低面试官的评价结果。然后引起了面试官一连串的疑问，包括像如果数据量没有描述的这么大，为什么要做分区？惭愧orz
为了优化性能的话，是要控制表的大小还是控制表的行数？
Redis能够讲一下吗？
大概讲一下BloomFilter？
BloomFilter的错误率有多少？（从这里开始后面就一直爆炸了）
可以自己配置，受Bitmap长度和Hash函数影响
具体会有多大？比如要让错误率在1/10000以下？
具体和长度什么关系？和Hash函数个个数关系？
Hash函数一般选择用多少个？
（Orz这里我的理解和面试官的理解有所出入，我理解的模型是通过一个Hash函数计算出3个Bitmap需要置位的位置，而面试官认为的应该是通过3个不同的Hash函数计算出3个需要置位的位置，实际上都一样是需要计算3个置位的位置）
一段递归代码，讲输出的结果
写了正确的递归表达式，但是计算复杂度没有出结果
递推式是正确的，时间复杂度？我们学算法的时候时间复杂度是怎么算的？
（非常惭愧没有掌握计算过程，噗甩锅跨专业，一定好好补充这块的知识）
二面技术问题基本就到这里结束了，大约30分钟，毫无疑问时间太短是个Bad Smell，可能意味着面试官已经认为不符合要求，打算结束。
面试全程都在“答不上来”和“不了解”之间切换，然后就到了跟面试官聊人生聊理想的环节，主要关注出来看工作机会的目的和考虑之类的问题。最后也解答了一下我的问题，问到面试官对我的建议，那么当然就是反复强调的细节了，技术细节需要更深入了解，惭愧。
挂掉二面通话之后感觉非常糟糕，很多问题看似简单（orz实际上真的不难）没有答得对甚至就没有能答出来，需要继续加油。
二面结束几个小时之后接到了HR的电话，约了聊人生的时间。
二面和HR面都是在同一天的，有点意外因为二面的表现实在是太糟糕了，不过也可能是因为需要综合评定，所以还有后续的流程要走完。HR面也是常规的一些问题提出来要了解，以及解答疑问，就不再详细描述了。
总结
整体来说考核的难度都比较正常，不过二面里面业务的掌握程度还是有所欠缺，一面里面的一些场景设计大概也不是特别理想。所以遵从面试官的建议，需要细抠技术细节，希望能够保持学习和成长。
面试感受：Pending有点久，大概是因为赶上毕业的同学们春招
面试难度：正常，基础和业务结合
最后许愿结果满意XD
Golang开发岗
Shopee面试

ㅤ普通"
腾讯Go后端开发面经汇总,"本系列将提供腾讯Go后端岗位历年面经，所有面经都有候选人面试之后根据回忆整理而出，大家可以通过面经来复习以及看看腾讯面试难度。
为了方便大家复习，这些面试题的展示采取了右边面试题目，左边答案的方式，方便大家按需查看。
由于手机端不支持这种展示方式，当然，为了手机方便阅读，下面会贴出所有面试题答案链接，不过大家最好在 PC 电脑端阅读哈，相关面试题还会持续更新，尽量补充完善起来，建议收藏帅地的网站哦。
1. 【腾讯】Go岗-腾讯云社招
1. 【腾讯】Go岗-腾讯云社招
2. 【腾讯】Go岗-暑期暑期实习三面面经
2. 【腾讯】Go岗-暑期暑期实习三面面经
3. 【腾讯】Go岗-运营开发三轮凉经
3. 【腾讯】Go岗-运营开发三轮凉经
4. 【腾讯】Go岗-社招二面面经
4. 【腾讯】Go岗-社招二面面经
5. 【腾讯】Go岗-微保后台面经
5. 【腾讯】Go岗-微保后台面经
6. 【腾讯】Go岗-QQ三面（已拿offer）
6. 【腾讯】Go岗-QQ三面（已拿offer）
7. 【腾讯】Go岗-PCG腾讯看点
7. 【腾讯】Go岗-PCG腾讯看点
8. 【腾讯】Go岗-后台实习三面，已OC
8. 【腾讯】Go岗-后台实习三面，已OC
9. 【腾讯】Go岗-三轮超详细面经
9. 【腾讯】Go岗-三轮超详细面经
10. 【腾讯】Go岗-四轮技术面+HR面
10. 【腾讯】Go岗-四轮技术面+HR面
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-腾讯云社招,"1.自我介绍
2.项目介绍，问的挺多的，每个项目的架构以及实现方式
3.etcd相关
是什么？如何保持高可用性，选举机制，脑裂如何解决
4.k8s相关
哪些常用组件，发起一个pod的创建整个通路，service有哪些，
一个请求到达pod的过程、configmap、 dockerfile
5.golang基础
数组和切片的区别 协程同步的方式 waitgroup和context区别 如何处理异常 defer
通用的http请求日志打印如何封装
6.tcp三次握手四次挥手 可靠性如何保证
7.redis数据类型
8.linux查看端口占用命令
7.mysql相关
存储引擎 区别 索引的种类 查询较慢的时候如何分析
8.算法
两个栈实现一个队列
1.自我介绍
2.项目介绍
3.tcp四次挥手、time_wait状态
4.linux常用命令，使用shell拆分一个ip地址
5.网络不可达如何排查，例如我当前打不开qq.com
6.k8s内部请求到达外部服务的过程
1.自我介绍
2.项目介绍（具体干啥、作用、背景、成果、遇到的问题、解决方案）
3.基础相关 tcp、udp区别、进程线程区别
4.项目相关  etcd mvcc、k8s pod之间如何通信
5.linux相关 如何排查网络问题、命令
6.个人规划
7.对于部门工作的了解（不了解，卒）
8.对自己的要求
本人小菜鸡1年golang后台开发经验
整体来说 问的不难 更多注重项目、基础 所有问题基本都是从项目中出发，牛客]保佑，希望能有hr面?
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-暑期后台实习三面面经,"之前面了腾讯csig的后台开发暑期实习，也拿了offer，一直太懒去整理，现在还是凭着回忆写一下，希
望可以帮到一些还在准备面试的同学们吧
由于我的技术栈主要是Go，所以面试官问Go的内容也蛮多的。
1.说说Golang如何创建一个map
2.Golang的channel
3.Golang的协程有什么了解
4.有用过docker吗，说一说docker如何映射端口
5.项目中的用户鉴权是用什么实现的（jwt，然后聊了聊）
6.git如何切换分支
1.创建多个goroutine在多核的情况下是如何分配的
2.情景题：有很多个数（忘了多少了，可能几万吧）的一个文件，对其排序
3.项目用了图数据库，聊了聊它和关系型数据库的差别和优缺点
这面真记不到啥题了…不过二面后面试官发了邮件然后要我写个小项目，给了五天左右的时间吧
1.git中如何将本地项目和两个远程仓库连接（git remote）
2.问有没有学过编译原理（无），使用gcc编译出可执行文件的中间步骤
3.如果要你设计一个进程管理机制，为保存进程信息，你觉得每个进程应该创建一个包含哪些字段的结构体
4.聊项目以及项目的技术选型
大致的一个时间线是：官网上投简历两天后收到一面（直接电话然后约了下午两点），一面完当天晚二
面，然后给了五天时间写题，之后写好了发给面试官后，当天晚上三面，再过了三天hr面，hr面过了一
天就接oc了。
由于没录音所以也就记得住这些啦，希望对大家有帮助，祝大家春招顺利，早日上岸^_^
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-运营开发三轮凉经,"背景：大三软工Gopher，与鹅厂单方面虐恋情深（bushi
自我介绍
项目相关
基础知识
计算机网络
数据库原理
Linux操作
编程语言
其它补充
自我介绍
项目相关
基础知识
计算机网络
操作系统
编程语言
其它补充
自我介绍
项目讲解
基础知识
计算机网络
操作系统
其它补充
社团自用，还被反问“有这样的需求吗”…（我明白了wzjtx…
大学生涯中最有成就感的一件事情
总结：三天三面高强度?内容和形式都比较灵活，无奈到三面的时候面试官比较看重项目落地(?，当场
懵了（不过也是之前和之后没有发挥得特别好）。结果是三面完还在初试没有变灰，没更新状态就流程
释放了。第一次面鹅厂，面试体验很不错的，组里的工作内容和技术栈我也很喜欢，因为自己的菜?
?有点遗憾吧555 (:з」∠)
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-社招二面面经,"1.go的调度
2.go struct能不能比较？
3.go defer（for defer）
4.select可以用于什么？
5.context包的用途？
6.client如何实现长连接？
7.主协程如何等其余协程完再操作
8.slice，len，cap，共享，扩容
9.map如何顺序读取？
10.实现set
11.实现消息队列（多生产者，多消费者）
12.大文件排序
13.基本排序，哪些是稳定的
14.http get跟head
15.http 401,403
16.http keep-alive
17.http能不能一次连接多次请求，不等后端返回
18.tcp与udp区别，udp优点，适用场景
19.time-wait的作用
20.数据库如何建索引
21.孤儿进程，僵尸进程
22.死锁条件，如何避免
23.linux命令，查看端口占用，cpu负载，内存占用，如何发送信号给一个进程
24.git文件版本，使用顺序，merge跟rebase
1.项目实现爬虫的流程
2.爬虫如何做的鉴权吗？
3.怎么实现的分布式爬虫
4.电商系统图片多会造成带宽过高，如何解决？
5.micro服务发现
6.mysql底层有哪几种实现方式
7.channel底层实现
8.java nio和go 区别
9.读写锁底层是怎么实现的？
10.go-micro 微服务架构怎么实现水平部署的，代码怎么实现？
11.micro怎么用
12.怎么做服务发现的
13.mysql索引为什么要用B+树？
14.mysql语句性能评测？
15.服务发现有哪些机制
16.raft算法是那种一致性算法
17.raft有什么特点
18.当go服务部署到线上了，发现有内存泄露，该怎么处理
19还有一些非常底层的问题
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-微保后台面经,"聊实习：
聊项目：
了解内存泄漏吗？有什么危害？
一道很简单的Go题目，Go怎么做深拷贝。
Map是线程安全的吗？怎么解决并发安全问题？
sync.Map 怎么解决线程安全问题？看过源码吗？
copy是操作符还是内置函数
slice的底层原理
map的底层原理
假设需要启动MongoDB，在linux下怎么设置只能启动一个？
现在对什么感兴趣？
Go里面一个协程能保证绑定在一个内核线程上面的。
自己搭过数据库之类的吗，比如Mongo，MySQL。
defer的执行顺序
defer A ; defer B ; defer panic(“”) A和B能不能执行到
怎么在10万个数中找最大的10个数
没有手撕没有反问
聊了一点项目：
Go切片和数据之间的区别
切片怎么扩容
扩容过程中需不需要重新写入
线程和进程怎么看
Go的协程可以不可以自己让出cpu
Go的协程可以只挂在一个线程上面吗
一个协程挂起换入另外一个协程是什么过程？
分页和分段内存管理有什么区别
内存泄漏和内存溢出的区别
假如一个数组，由10个数，现在只剩8个数，找出剩下的俩个数？这10个数是有某种顺序或者规律吗？
没有。。。。。
那不会
那就有规律把，比如1-10.
假设这个世界是重男轻女，生了女孩后一定会再生，生了男孩后就停，从概率论的角度分析一下将来这
个世界是男多还是女多
你怎么看待世界新冠疫情？
你觉得新冠疫情期间，中医扮演了什么样的作用？emmm…………….我佛了
为什么学Go
Go和C++有什么区别？
想过未来的工作嘛？
了解保险嘛？不了解。。。。。
MongoDB怎么做备份？
MongoDB怎么解决写入失败问题？
可以先来实习嘛？什么时候？
会谈一些对实习公司以及微保业务方面的了解
常规HR问题
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-QQ三面（已拿offer）,"总结：
总结：
总结：
总结：
GM聊下来人感觉很不错，给人感觉特别舒服，或许这就是大佬吧，真大佬面试真的会给人一种很舒
服的感觉，特别像校招面阿里巴巴的一面，真的有时候会遇到那种怼天怼地自以为是的，所以找工
作运气也很重要
下周应该给我offer call，希望能达到预期
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-PCG腾讯看点,"寻找两个正序数组的中位数
算法题：快排思路找topK
场景题：两堆大数，100亿个数和10亿个数，找交集
场景题：直播房间，一个大V发了一条消息，如何让上千万的粉丝收到这条消息，如果只是纯粹的广
播会很耗资源
select 和 epoll 的差别
C 和 C++ 的字节对齐
问学习和生活等个人信息
Go开发
腾讯面经
腾讯面试

ㅤ普通"
【腾讯】Go岗-后台实习三面，已OC,"不知道为啥腾讯周六也上班？刚面完HR面，说之后还会和前三轮面试官进行综合考虑，之后还有个[排
序，要等待2、3工作日。希望HR面不会挂，许愿一波
3.21 没有任何进展，状态还是显示HR面，希望明天能给个结果吧。。
3.22收到云证了，但是官网显示还是hr面。云证提交资料后，再次点进去看不见之前的提交记录。请问
这两种情况正常吗？
3.25已成功OC，等待意向书的签订。
在牛客看了很多面经，受益很多，今天来回馈各位，希望还没拿到offer的同学也能从中有所收获。 因为
都是凭借记忆来写的，所以可能很多都记不清了。
先说说本人的情况，普通211本科，考研二战失败，在海外一个小学校读硕士。之前本科一直没好好读
书，大部门基础知识都是考研积累下来的，接触golang一年不到。
1.自我介绍，个人情况，在学校的学习状况这些
2.项目（一个代理网关，都是用源码来实现的），balabal讲了些主要的功能以及运用的场景这些。
感觉三个面试官都对我项目中的负载这一块的设及挺感兴趣的，每个人都问了一遍，我每次都解释了好
久。介绍项目的时候讲到了怎么用代码去实现四种负载均衡机制（轮询、随机、权重、哈希），因为我
是没用使用nginx而是使用代码去实现的，所以我每种都解释一遍代码实现的原理，其中重点讲解的是 权
重 这种（讲了一大堆怎么去计算结点的权重、我是参考nginx的源码来设及的balabala)
3.接下来就是一大堆根据项目衍生出来的问题…
如果你这个网关中其中一个结点宕机了怎么办
答：我提供熔断和降级的机制，限流机制—>讲解了golang 的有关hystrix包，time/rate包。。如何去使用
你有没有对你的网关的抗压能力进行过测试？
答：apache benchmark ,golang pprof及其对应的三种使用模式：1.报告 2.web界面 3.终端  之后还提了
他的可视化界面以及可以生成火焰图这样
4.hashmap的实现
每次面试官提到这个我都会扯到golang 的map上去，因为golang的map就是用hashmap来实现的，其
中要注意的点有：golang map底层源码的数据结构，键值对是怎么存储的，发生了哈希冲突怎么处理
的，扩容的时候底层的原理和做了什么
5.golang slice 和array
底层的数据结构，他们的区别是什么，超过大小时发生扩容，他底层的原理是什么
6.golang goroutine的工作原理以及他们怎么进行数据交互的—>最简单的就是channel,还
有…balabala，然后channel的底层源码也大致说了一遍
7.golang gpm模型工作机制以及流程
8.进程线程区别，以及多进程多线程的使用场景
9.mysql主从复制以及好处、工作原理和机制
10.mysql引擎，索引数据结构，为什么用b+树不用别的
11.最近在看哪方面的书，你给我讲讲
12.写2道算法题
第一道：
汉明距离
第二道：
单词倒序并且大小写互反：例如：”heLlo WolRd” 转化为 “HElLO wOLrD”
13.反问
1.自我介绍，学习状况balabla类似的
2.写一道题
二叉树最近公共结点的祖先
3.项目，和第一面问的都差不多，所以很多细节我都省去了，可以参考我上面写在一面里的
很多源码以及底层的实现原理：
4.golang slice底层实现，使用场景
5.golang map底层实现，使用场景
6.golang interface底层实现，使用场景
7.golang类型断言，怎么用
8.golang写好程序编译的时候，底层的数据是怎么传递以及存储的（这一点我没答好，因为我不太懂）
这时候面试官问：我看你本科是安全专业的，对这方面了解如何  答：不太了解，个人方向是开发  面试
官：那我就问你几个计网的问题吧
9.golang gpm模型以及工作机制一大堆
10.golang测试相关的以及你怎么平时怎么测试的balabala
11.http四次挥手+timewate
12.https流程以及证书的发放
13.linux怎么查找的时候排序好像（记不太清了，还有一些其他的linux的问题
14.mysql索引底层数据结构，红黑树
15.64匹马选最快的4匹
16.最近再看哪方面的技术，你给我讲讲
17.反问
也不知道是hr还是三面面试官，中午12点多打电话来了，跟我约三面时间，我说今天下午就行，他说那
就3点吧
感觉到了大boss这一轮的话，肯定不会像之前问的那么细
1.自我介绍，学习情况，要是过了能什么时候来实习啊，实习多久balabla一大堆
2.面试官：我看你们的课程好像蛮有意思，你说说你们都教了什么东西
3.项目—–>项目的使用场景啊，能不能适用于一个高并发量的场景啊balabala，其中我还画了图给面试
官讲解了项目的工作流程啊还模拟一个轮询机制，以及画图描述了怎么选择下一个结点balabala(问了一
大堆相关的场景题，我这里有点记不清了，这里问了好久，感觉问了有30分钟左右）
4.反问
周六HR好像还在家里加班?
1.自我介绍，学习状况balabala
2.问：为什么gap了一年，答：考研二战  追问：第一次考的哪balabala
3.问：最近还在面什么别的公司  答：字节、阿里 追问：怎么选择，肯定要说腾讯好啊balabala一大堆，
这里说了好久，感觉有15分钟（我是真心觉得腾讯更好?
4.问：最近在看什么书，生涯规划是怎样的，以后想从事哪方面
5.问：你实践经历不多，你觉得你有什么优势能胜任这个岗位 答：balabala 追问：你能用几个例子来说明一下吗，学习生活上的都行  答：balabala  追问：你能再举个例子吗
6.问：什么时候入职，能实习多久
7.反问
一周内结束了所有的面试感觉还是有点累的，这一周一直都是一种紧绷的状态
这一个月也是面了好几家，感觉面试官都希望去问底层的源码（map的源码最重要，map的源码最重
要，map的源码最重要，重要的事情说三遍！）几种数据类型的源码一定要看，时间多的话可以看看gin
的源码或者sync.map的源码（这些我都准备了好久，但是都没被问过）
golang的测试相关也一定要注重，我面阿里和腾讯都被问到了怎么去写测试以及测试用的工具和方法
其他的重点内容属于计算机基础课程拉，我就不多说了，主要是自己也记不太清了，想起多少就写多少
吧  ????
最后希望大家能从中有所收获，努力一定会有回报的！
Go开发
腾讯面经
腾讯面试

ㅤ普通"
