问题,回答,所属分类
Django 中 models 利用 ORM 对 Mysql 进行查表的语句（多个语句）,"字段查询
all():返回模型类对应表格中的所有数据。
get():返回表格中满足条件的一条数据，如果查到多条数据，则抛异常：MultipleObjectsReturned，查询不到数据，则抛异常：DoesNotExist。
filter():参数写查询条件，返回满足条件 QuerySet 集合数据。
条件格式：
模型类属性名__条件名=值
注意：此处是模型类属性名，不是表中的字段名
关于 filter 具体案例如下：
判等 exact
模糊查询 like
例：查询书名包含’传’的图书。contains
空查询 where 字段名 isnull
范围查询 where id in (1，3，5)
比较查询 gt lt(less than) gte(equal) lte
日期查询
exclude:返回不满足条件的数据。
F 对象
作用：用于类属性之间的比较条件。
Q 对象
作用：用于查询时的逻辑条件。可以对 Q 对象进行&|~操作。
order_by 返回 QuerySet
作用：对查询结果进行排序。
聚合函数
作用：对查询结果进行聚合操作。
aggregate：调用这个函数来使用聚合。
{‘id__count’: 5} 注意返回值类型及键名
{‘bread__sum’:120} 注意返回值类型及键名
count 函数
作用：统计满足条件数据的数目。
例：统计所有图书的数目。
例：统计 id 大于 3 的所有图书的数目。
模型类关系
一对多关系
例：图书类-英雄类
models.ForeignKey() 定义在多的类中。
2）多对多关系
例：新闻类-新闻类型类
models.ManyToManyField() 定义在哪个类中都可以。
3）一对一关系
例：员工基本信息类-员工详细信息类
models.OneToOneField() 定义在哪个类中都可以。
Python后台开发

ㅤ普通",
django 中间件的使用？,"Django 在中间件中预置了六个方法，这六个方法的区别在于不同的阶段执行，对输入或输出进行干预，方法如下：
1.初始化：无需任何参数，服务器响应第一个请求的时候调用一次，用于确定是否启用当前中间件。
2.处理请求前：在每个请求上调用，返回 None 或 HttpResponse 对象。
3.处理视图前：在每个请求上调用，返回 None 或 HttpResponse 对象。
4.处理模板响应前：在每个请求上调用，返回实现了 render 方法的响应对象。
5.处理响应后：所有响应返回浏览器之前被调用，在每个请求上调用，返回 HttpResponse 对象。
6.异常处理：当视图抛出异常时调用，在每个请求上调用，返回一个 HttpResponse 对象。
Python后台开发

ㅤ普通",
Django 项目的优化？,"这个答案 web 通用
(1) 优化数据库查询
(2) 代码优化
Python后台开发

ㅤ普通",
谈一下你对 uWSGI 和 nginx 的理解？,"uWSGI
uWSGI 是一个 Web 服务器，它实现了 WSGI 协议、uwsgi、http 等协议。Nginx 中 HttpUwsgiModule 的作用是与 uWSGI 服务器进行交换。WSGI 是一种 Web 服务器网关接口。它是一 个 Web 服务器（如 nginx，uWSGI 等服务器）与 web 应用（如用 Flask 框架写的程序）通信的一种 规范。
要注意 WSGI / uwsgi / uWSGI 这三个概念的区分。
(1) WSGI 是一种通信协议。
(2) uwsgi 是一种线路协议而不是通信协议，在此常用于在 uWSGI 服务器与其他网络服务器的数据通信。
(3) uWSGI 是实现了 uwsgi 和 WSGI 两种协议的 Web 服务器。
ngix
nginx 是一个开源的高性能的 HTTP 服务器和反向代理：
(1) 作为 web 服务器，它处理静态文件和索引文件效果非常高；
(2) 它的设计非常注重效率，最大支持 5 万个并发连接，但只占用很少的内存空间；
(3) 稳定性高，配置简洁；
(4) 强大的反向代理和负载均衡功能，平衡集群中各个服务器的负载压力应用。
Python后台开发

ㅤ普通",
说说 nginx 和 uWISG 服务器之间如何配合工作的？,"首先浏览器发起 http 请求到 nginx 服务器，Nginx 根据接收到请求包，进行 url 分析，判断访问的资源类型。
如果是静态资源，直接读取静态资源返回给浏览器。
如果请求的是动态资源就转交给 uwsgi 服务器，uwsgi 服务器根据自身的 uwsgi 和 WSGI 协议，找到对应的 Django 框架，Django 框架下的应用进行逻辑处理后，将返回值发送到 uwsgi 服务器，然后 uwsgi 服务器再返回给 nginx，最后 nginx 将返回值返回给浏览器进行渲染显示给用户。
Python后台开发

ㅤ普通",
django 开发中数据库做过什么优化?,"(1) 设计表时，尽量少使用外键，因为外键约束会影响插入和删除性能
(2) 使用缓存，减少对数据库的访问
(3) 在 orm 框架下设置表时，能用 varchar 确定字段长度时，就别用 text
(4) 可以给搜索频率高的字段属性，在定义时创建索引
(5) Django orm 框架下的 Querysets 本来就有缓存的
(6) 如果一个页面需要多次连接数据库，最好一次性取出所有需要的数据，减少对数据库的查询次数
(7) 若页面只需要数据库里某一个两个字段时，可以用 QuerySet.values()
(8) 在模板标签里使用 with 标签可以缓存 Qset 的查询结果
Python后台开发

ㅤ普通",
验证码过期时间怎么设置？,"将验证码保存到数据库或 session，设置过期时间为 1 分钟，然后页面设置一个倒计时(一般是前端 js 实现 这个计时)的展示，一分钟过后再次点击获取新的信息。
Python后台开发

ㅤ普通",
Python 中 Django、Flask、Tornado 三大框架各自的应用场景？,"Django
主要是用来搞快速开发的，他的亮点就是快速开发，节约成本，正常的并发量不过 10000，如果要实现高并发的话，就要对 Django 进行二次开发，比如把整个笨重的框架给拆掉，自己写 socket 实现 http 的通信，底层用纯 c/c++写提升效率，ORM 框架给干掉，自己编写封装与数据库交互的框架，因为啥呢，ORM 虽然面向对象来操作数据库，但是它的效率很低，使用外键来联系表与表之间的查询
Flask
轻量级，主要是用来写接口的一个框架，实现前后端分离，提升开发效率，Flask 本身相当于一个内核，其他几乎所有的功能都要用到扩展（邮件扩展 Flask-Mail，用户认证 Flask-Login），都需要用第三方的扩展来实现。比如可以用 Flask-extension 加入 ORM、窗体验证工具，文件上传、身份验证等。Flask 没有默认使用的数据库，你可以选择 MySQL，也可以用 NoSQL。
其 WSGI 工具箱采用 Werkzeug（路由模块），模板引擎则使用 Jinja2。这两个也是 Flask 框架的核心。Python 最出名的框架要数 Django，此外还有 Flask、Tornado 等框架。虽然 Flask 不是最出名的框架，但是 Flask 应该算是最灵活的框架之一，这也是 Flask 受到广大开发者喜爱的原因。
Tornado
Tornado 是一种 Web 服务器软件的开源版本。
Tornado 和现在的主流 Web 服务器框架（包括大多数 Python 的框架）有着明显的区别：它是非阻塞式服务器，而且速度相当快。得利于其非阻塞的方式和对 epoll 的运用，Tornado 每秒可以处理数以千计的连接，因此 Tornado 是实时 Web 服务的一个 理想框架。
Python后台开发

ㅤ普通",
django 如何提升性能？,"对一个后端开发程序员来说，提升性能指标主要有两个一个是并发数，另一个是响应时间网站性能的优化一般包括 web 前端性能优化，应用服务器性能优化，存储服务器优化。
对前端的优化主要有：
(1) 减少 http 请求，减少数据库的访问量，比如使用雪碧图。
(2)使用浏览器缓存，将一些常用的 css，js，logo 图标，这些静态资源缓存到本地浏览器，通过设置 http 头中的 cache-control 和 expires 的属性，可设定浏览器缓存，缓存时间可以自定义。
(3) 对 html，css，javascript 文件进行压缩，减少网络的通信量。
对我个人而言，我做的优化主要是以下三个方面：
(1)合理的使用缓存技术，对一些常用到的动态数据，比如首页做一个缓存，或者某些常用的数据做个缓存，设置一定得过期时间，这样减少了对数据库的压力，提升网站性能。
(2) 使用 celery 消息队列，将耗时的操作扔到队列里，让 worker 去监听队列里的任务，实现异步操 作，比如发邮件，发短信。
(3) 就是代码上的一些优化，补充：nginx 部署项目也是项目优化，可以配置合适的配置参数，提升效率，增加并发量。
(4) 如果太多考虑安全因素，服务器磁盘用固态硬盘读写，远远大于机械硬盘，这个技术现在没有普及，主要是固态硬盘技术上还不是完全成熟， 相信以后会大量普及。
(5) 另外还可以搭建服务器集群，将并发访问请求，分散到多台服务器上处理。
(6) 最后就是运维工作人员的一些性能优化技术了。
Python后台开发

ㅤ普通",
什么是 restful api，谈谈你的理解?,"REST:Representational State Transfer 的缩写，翻译：“具象状态传输”。一般解释为“表现层状态转换”。
REST 是设计风格而不是标准。是指客户端和服务器的交互形式。我们需要关注的重点是如何设计 REST 风格的网络接口。
REST 的特点：
(1) 具象的。一般指表现层，要表现的对象就是资源。比如，客户端访问服务器，获取的数据就是资源。比如文字、图片、音视频等。
(2) 表现：资源的表现形式。txt 格式、html 格式、json 格式、jpg 格式等。浏览器通过 URL 确定资源的位置，但是需要在 HTTP 请求头中，用 Accept 和 Content-Type 字段指定，这两个字段是对资源表现的描述。
(3) 状态转换：客户端和服务器交互的过程。在这个过程中，一定会有数据和状态的转化，这种转化叫做状态转换。其中，GET 表示获取资源，POST 表示新建资源，PUT 表示更新资源，DELETE 表示删除资源。HTTP 协议中最常用的就是这四种操作方式。
RESTful 架构：
(1) 每个 URL 代表一种资源
(2) 客户端和服务器之间，传递这种资源的某种表现层
(3) 客户端通过四个 http 动词，对服务器资源进行操作，实现表现层状态转换
Python后台开发

ㅤ普通",
启动 Django 服务的方法？,"runserver 方法是调试 Django 时经常用到的运行方式，它使用 Django 自带的 WSGI Server 运 行，主要在测试和开发中使用，并且 runserver 开启的方式也是单进程 。
Python后台开发

ㅤ普通",
怎样测试 django 框架中的代码？,"在单元测试方面，Django 继承 python 的 unittest.TestCase 实现了自己的　django.test.TestCase，编写测试用例通常从这里开始。测试代码通常位于 app 的 tests.py 文件中(也可以在 models.py 中编写，一般不建议）。在 Django 生成的 depotapp 中，已经包含了这个文件，并且其中包含了一个测试
用例的样例：
一些测试工具：unittest 或者 pytest
Python后台开发

ㅤ普通",
有过部署经验？用的什么技术？可以满足多少压力？,"(1) 有部署经验，在阿里云服务器上部署的
(2) 技术有：nginx + uwsgi 的方式来部署 Django 项目
(3) 无标准答案（例：压力测试一两千）
Python后台开发

ㅤ普通",
Django 中哪里用到了线程?哪里用到了协程?哪里用到了进程？,"(1) Django 中耗时的任务用一个进程或者线程来执行，比如发邮件，使用 celery。
(2) 部署 django 项目的时候，配置文件中设置了进程和协程的相关配置。
Python后台开发

ㅤ普通",
django 关闭浏览器，怎样清除 cookies 和 session？,"设置 Cookie
读取 Cookie
以键值对的格式写会话。
根据键读取值。
清除所有会话，在存储中删除值部分。
清除会话数据，在存储中删除会话的整条数据。
删除会话中的指定键及值，在存储中只删除某个键及对应的值。
设置会话的超时时间，如果没有指定过期时间则两个星期后过期。 如果 value 是一个整数，会话将在 value 秒没有活动后过期。 如果 value 为 0，那么用户会话的 Cookie 将在用户的浏览器关闭时过期。 如果 value 为 None，那么会话永不过期。
Session 依赖于 Cookie，如果浏览器不能保存 cookie 那么 session 就失效了。因为它需要浏览器的 cookie 值去 session 里做对比。session 就是用来在服务器端保存用户的会话状态。
cookie 可以有过期时间，这样浏览器就知道什么时候可以删除 cookie 了。 如果 cookie 没有设置过期时间，当用户关闭浏览器的时候，cookie 就自动过期了。你可以改变 SESSION_EXPIRE_AT_BROWSER_CLOSE 的设置来控制 session 框架的这一行为。缺省情况下，SESSION_EXPIRE_AT_BROWSER_CLOSE 设置为 False ，这样，会话 cookie 可以在用户浏览器中保持有效达 SESSION_COOKIE_AGE 秒（缺省设置是两周，即 1，209，600 秒）如果你不想用户每次打开浏览器都必须重新登陆的话，用这个参数来帮你。如果 SESSION_EXPIRE_AT_BROWSER_CLOSE 设置为 True，当浏览器关闭时，Django 会使 cookie 失效。
SESSION_COOKIE_AGE：设置 cookie 在浏览器中存活的时间。
Python后台开发

ㅤ普通",
代码优化从哪些方面考虑？有什么想法？,"1、优化算法时间
算法的时间复杂度对程序的执行效率影响最大，在 Python 中可以通过选择合适的数据结构来优化时间复杂度，如 list 和 set 查找某一个元素的时间复杂度分别是 O(n)和 O(1)。不同的场景有不同的 优化方式，总得来说，一般有分治，分支界限，贪心，动态规划等思想。
2、循环优化
每种编程语言都会强调需要优化循环。当使用 Python 的时候，你可以依靠大量的技巧使得循环运行得更快。然而，开发者经常漏掉的一个方法是：
避免在一个循环中使用点操作。每一次你调用方法 str.upper，Python 都会求该方法的值。然而，如果你用一个变量代替求得的值，值就变成了已知的，Python 就可以更快地执行任务。优化循环的关键，是要减少 Python 在循环内部执行的工作量，因为 Python 原生的解释器在那种情况下，真的会减缓执行的速度。（注意：优化循环的方法有很多，这只是其中的一个。例如，许多程序员都会说，列表推导是在循环中提高执行速度的最好方式。这里的关键是，优化循环是程序取得更高的执行速度的更好方式之一。）
3、函数选择
在循环的时候使用 xrange 而不是 range；使用 xrange 可以节省大量的系统内存，因为 xrange() 在序列中每次调用只产生一个整数元素。而 range()將直接返回完整的元素列表，用于循环时会有不必要的开销。在 python3 中 xrange 不再存在，里面 range 提供一个可以遍历任意长度的范围的 iterator。
4、并行编程
因为 GIL 的存在，Python 很难充分利用多核 CPU 的优势。但是，可以通过内置的模 multiprocessing 实现下面几种并行模式：
多进程：对于 CPU 密集型的程序，可以使用 multiprocessing 的 Process，Pool 等封装好的类，通过多进程的方式实现并行计算。但是因为进程中的通信成本比较大，对于进程之间需要大量数据交互的程序效率未必有大的提高。
多线程：对于 IO 密集型的程序，multiprocessing.dummy 模块使用 multiprocessing 的接口封装 threading，使得多线程编程也变得非常轻松(比如可以使用 Pool 的 map 接口，简洁高效)。
布式：multiprocessing 中的 Managers 类提供了可以在不同进程之共享数据的方式，可以在此基础上开发出分布式的程序。
不同的业务场景可以选择其中的一种或几种的组合实现程序性能的优化。
5、使用性能分析工具
除了上面在 ipython 使用到的 timeit 模块，还有 cProfile。cProfile 的使用方式也非常简单：python-mcProfilefilename.py，filename.py 是要运行程序的文件名，可以在标准输出中看到每一个函数被调用的次数和运行的时间，从而找到程序的性能瓶颈，然后可以有针对性地优化。
6、set 的用法
set 的 union，intersection，difference 操作要比 list 的迭代要快。因此如果涉及到求 list 交集，并集或者差的问题可以转换为 set 来操作。
7、PyPy
PyPy 是用 RPython(CPython 的子集)实现的 Python，根据官网的基准测试数据，它比 CPython 实现的 Python 要快 6 倍以上。快的原因是使用了 Just-in-Time(JIT)编译器，即动态编译器，与静态编译器(如 gcc，javac 等)不同，它是利用程序运行的过程的数据进行优化。由于历史原因，目前 pypy 中还保留着 GIL，不过正在进行的 STM 项目试图将 PyPy 变成没有 GIL 的 Python。如果 python 程序中含有 C 扩展(非 cffi 的方式)，JIT 的优化效果会大打折扣，甚至比 CPython 慢（比 Numpy）。
所以在 PyPy 中最好用纯 Python 或使用 cffi 扩展。
Python后台开发

ㅤ普通",
Django 中间件是如何使用的？,"中间件不用继承自任何类（可以继承 object），下面一个中间件大概的样子：
还有 process_view， process_exception 和 process_template_response 函数。
(1) 初始化：无需任何参数，服务器响应第一个请求的时候调用一次，用于确定是否启用当前中间件。
(2) 处理请求前：在每个请求上，request 对象产生之后，url 匹配之前调用，返回 None 或HttpResponse 对象。
(3) 处理视图前：在每个请求上，url 匹配之后，视图函数调用之前调用，返回 None 或HttpResponse 对象。
(4) 处理响应后：视图函数调用之后，所有响应返回浏览器之前被调用，在每个请求上调用，返回HttpResponse 对象。
(5) 异常处理：当视图抛出异常时调用，在每个请求上调用，返回一个 HttpResponse 对象。
Python后台开发

ㅤ普通",
ngnix 的正向代理与反向代理?,"web 开发中，部署方式大致类似。简单来说，使用 Nginx 主要是为了实现分流、转发、负载均衡，以及分担服务器的压力。Nginx 部署简单，内存消耗少，成本低。Nginx 既可以做正向代理，也可以做反向代理。
正向代理：请求经过代理服务器从局域网发出，然后到达互联网上的服务器。
特点：服务端并不知道真正的客户端是谁。
反向代理：请求从互联网发出，先进入代理服务器，再转发给局域网内的服务器。
特点：客户端并不知道真正的服务端是谁。
区别：正向代理的对象是客户端。反向代理的对象是服务端。
Python后台开发

ㅤ普通",
